country_code,year,internet_usage,mobile_subscriptions,scientific_articles,patent_applications,research_expenditure,broadband_subscriptions,innovation_index,source,indicator_code
USA,2010,78.91,143.11,28495.0,44628.0,3.62,38.26,57.48,mock_data,TECH_MOCK
USA,2011,90.08,121.16,3634.0,7879.0,0.93,19.38,63.7,mock_data,TECH_MOCK
USA,2012,94.66,56.82,86990.0,17110.0,1.17,22.83,42.21,mock_data,TECH_MOCK
USA,2013,33.13,114.79,56880.0,44521.0,3.52,41.22,37.48,mock_data,TECH_MOCK
USA,2014,49.06,50.14,13681.0,48787.0,1.64,40.61,42.73,mock_data,TECH_MOCK
USA,2015,81.82,97.42,62378.0,43583.0,4.41,26.01,37.09,mock_data,TECH_MOCK
USA,2016,44.4,53.24,33651.0,33980.0,1.3,11.87,54.73,mock_data,TECH_MOCK
USA,2017,53.53,119.12,19965.0,39013.0,2.53,21.26,54.87,mock_data,TECH_MOCK
USA,2018,70.15,69.9,12921.0,41054.0,2.17,37.63,20.96,mock_data,TECH_MOCK
USA,2019,69.04,77.61,68887.0,21653.0,0.27,26.37,56.32,mock_data,TECH_MOCK
USA,2020,48.04,115.41,43385.0,7999.0,4.19,20.03,42.88,mock_data,TECH_MOCK
USA,2021,94.76,149.05,37956.0,21618.0,0.79,28.51,52.4,mock_data,TECH_MOCK
USA,2022,39.8,80.77,29114.0,18111.0,0.62,11.0,64.91,mock_data,TECH_MOCK
USA,2023,83.07,54.81,92112.0,30819.0,2.88,19.2,29.91,mock_data,TECH_MOCK
GBR,2010,41.6,50.66,69389.0,43548.0,1.29,15.6,62.66,mock_data,TECH_MOCK
GBR,2011,40.02,72.63,45765.0,7705.0,0.45,26.4,32.19,mock_data,TECH_MOCK
GBR,2012,26.29,90.83,91725.0,33983.0,2.12,37.68,36.74,mock_data,TECH_MOCK
GBR,2013,54.52,107.31,22239.0,27323.0,3.54,37.27,62.43,mock_data,TECH_MOCK
GBR,2014,69.47,91.74,11300.0,29274.0,4.4,29.53,25.16,mock_data,TECH_MOCK
GBR,2015,32.73,143.31,54979.0,8130.0,2.61,30.17,39.81,mock_data,TECH_MOCK
GBR,2016,33.34,119.52,4196.0,41390.0,2.25,21.77,50.04,mock_data,TECH_MOCK
GBR,2017,71.6,145.37,25088.0,19158.0,2.92,28.67,41.09,mock_data,TECH_MOCK
GBR,2018,69.75,76.18,65192.0,43889.0,1.1,21.29,30.31,mock_data,TECH_MOCK
GBR,2019,85.14,66.14,41511.0,37604.0,1.67,7.15,54.84,mock_data,TECH_MOCK
GBR,2020,40.68,125.06,56925.0,26337.0,2.22,27.45,58.18,mock_data,TECH_MOCK
GBR,2021,42.41,101.94,63061.0,7490.0,1.77,35.71,29.71,mock_data,TECH_MOCK
GBR,2022,26.29,117.1,44210.0,16516.0,3.48,9.84,55.37,mock_data,TECH_MOCK
GBR,2023,54.63,145.36,82426.0,3899.0,2.19,16.09,28.8,mock_data,TECH_MOCK
DEU,2010,56.23,107.12,71384.0,9764.0,3.42,22.71,51.19,mock_data,TECH_MOCK
DEU,2011,72.05,108.45,12656.0,29305.0,2.33,30.95,51.7,mock_data,TECH_MOCK
DEU,2012,26.7,84.89,2719.0,37985.0,2.1,34.82,31.04,mock_data,TECH_MOCK
DEU,2013,68.93,96.47,46734.0,30031.0,2.06,5.71,32.62,mock_data,TECH_MOCK
DEU,2014,82.94,78.03,56096.0,10700.0,0.67,18.1,20.21,mock_data,TECH_MOCK
DEU,2015,53.98,56.76,88317.0,2075.0,0.4,29.28,25.94,mock_data,TECH_MOCK
DEU,2016,48.6,134.89,61755.0,9658.0,2.21,33.22,52.85,mock_data,TECH_MOCK
DEU,2017,37.33,73.43,98722.0,37080.0,1.82,39.4,41.74,mock_data,TECH_MOCK
DEU,2018,64.28,93.83,70038.0,10798.0,3.54,23.53,46.92,mock_data,TECH_MOCK
DEU,2019,66.09,98.85,73960.0,1875.0,3.64,40.81,43.18,mock_data,TECH_MOCK
DEU,2020,47.47,132.31,17600.0,32514.0,3.18,16.65,60.11,mock_data,TECH_MOCK
DEU,2021,63.69,113.11,3123.0,42725.0,2.73,6.68,45.17,mock_data,TECH_MOCK
DEU,2022,89.54,120.81,45567.0,47161.0,3.37,34.69,35.17,mock_data,TECH_MOCK
DEU,2023,55.14,71.51,98269.0,41852.0,1.66,9.12,44.5,mock_data,TECH_MOCK
JPN,2010,57.62,119.51,54463.0,44806.0,4.08,26.48,20.09,mock_data,TECH_MOCK
JPN,2011,76.95,67.01,66435.0,49547.0,1.51,26.27,31.31,mock_data,TECH_MOCK
JPN,2012,64.0,142.96,52982.0,33899.0,2.17,33.76,36.5,mock_data,TECH_MOCK
JPN,2013,52.76,64.08,47985.0,42630.0,3.91,36.96,50.8,mock_data,TECH_MOCK
JPN,2014,58.44,81.75,3079.0,6290.0,3.16,16.82,55.24,mock_data,TECH_MOCK
JPN,2015,67.37,132.66,35861.0,46260.0,0.59,41.15,31.34,mock_data,TECH_MOCK
JPN,2016,47.52,125.82,50419.0,10581.0,0.88,39.83,30.32,mock_data,TECH_MOCK
JPN,2017,55.21,76.37,18346.0,27836.0,1.88,37.94,44.73,mock_data,TECH_MOCK
JPN,2018,35.1,76.29,15794.0,45526.0,1.48,36.81,49.08,mock_data,TECH_MOCK
JPN,2019,93.4,126.34,99107.0,36930.0,4.21,42.78,62.1,mock_data,TECH_MOCK
JPN,2020,89.26,96.46,7527.0,40278.0,3.27,8.64,47.47,mock_data,TECH_MOCK
JPN,2021,42.72,71.7,11753.0,37952.0,2.04,32.81,22.57,mock_data,TECH_MOCK
JPN,2022,54.56,82.9,47762.0,37728.0,4.49,44.58,21.0,mock_data,TECH_MOCK
JPN,2023,90.3,56.56,53932.0,27895.0,0.81,23.6,59.24,mock_data,TECH_MOCK
CHN,2010,28.13,111.1,14119.0,19995.0,1.65,38.62,40.66,mock_data,TECH_MOCK
CHN,2011,21.92,108.36,48250.0,14520.0,3.52,17.95,41.69,mock_data,TECH_MOCK
CHN,2012,67.42,101.64,20649.0,20679.0,1.29,35.61,28.66,mock_data,TECH_MOCK
CHN,2013,90.06,126.21,70698.0,7079.0,1.1,38.89,29.44,mock_data,TECH_MOCK
CHN,2014,54.3,76.67,23941.0,18450.0,0.68,7.63,23.98,mock_data,TECH_MOCK
CHN,2015,29.53,63.05,92180.0,15226.0,4.31,6.66,39.74,mock_data,TECH_MOCK
CHN,2016,70.72,66.95,39049.0,33644.0,1.13,41.36,56.33,mock_data,TECH_MOCK
CHN,2017,65.98,117.76,88608.0,26420.0,3.69,36.49,37.34,mock_data,TECH_MOCK
CHN,2018,27.46,142.25,83622.0,48942.0,1.08,44.86,59.26,mock_data,TECH_MOCK
CHN,2019,30.16,84.74,4202.0,23681.0,3.16,28.38,51.01,mock_data,TECH_MOCK
CHN,2020,42.84,138.14,68828.0,37044.0,1.0,31.9,29.18,mock_data,TECH_MOCK
CHN,2021,55.62,72.17,81672.0,38184.0,2.67,44.21,25.78,mock_data,TECH_MOCK
CHN,2022,20.43,129.55,85339.0,48490.0,0.78,8.77,39.74,mock_data,TECH_MOCK
CHN,2023,92.9,62.05,29995.0,44837.0,4.34,9.6,45.0,mock_data,TECH_MOCK
FRA,2010,23.7,86.95,1114.0,9024.0,4.14,27.31,40.32,mock_data,TECH_MOCK
FRA,2011,30.23,63.6,20523.0,4921.0,3.33,22.55,29.05,mock_data,TECH_MOCK
FRA,2012,46.85,137.7,55449.0,35573.0,1.07,11.23,25.54,mock_data,TECH_MOCK
FRA,2013,30.81,106.57,41471.0,46001.0,2.84,22.21,50.41,mock_data,TECH_MOCK
FRA,2014,78.7,98.7,68773.0,1118.0,1.85,21.96,33.9,mock_data,TECH_MOCK
FRA,2015,31.64,147.95,32895.0,33549.0,0.78,30.31,27.95,mock_data,TECH_MOCK
FRA,2016,72.83,91.05,74136.0,20538.0,2.98,30.75,51.85,mock_data,TECH_MOCK
FRA,2017,45.82,127.49,62094.0,27764.0,4.08,8.06,51.41,mock_data,TECH_MOCK
FRA,2018,25.12,113.73,7180.0,41078.0,3.03,7.18,43.97,mock_data,TECH_MOCK
FRA,2019,73.15,135.34,95377.0,41019.0,4.1,13.39,32.34,mock_data,TECH_MOCK
FRA,2020,44.08,74.56,49813.0,22121.0,0.78,12.61,22.14,mock_data,TECH_MOCK
FRA,2021,81.24,53.01,23113.0,21447.0,3.39,5.97,32.23,mock_data,TECH_MOCK
